,en,de
231,"A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass.","Ein Mann in einem schwarzen Hemd und schwarzen Hosen, der auf dem Motor eines alten, grünen, antiken Autos arbeitet, während ein gelber Benzinkanister im Gras steht."
232,A woman in a blue jacket rides a brown pony near water.,"Eine Frau in einer blauen Jacke, die in Wassernähe ein braunes Pony reitet."
233,Two horses pull a carriage driven by a woman over snow covered ground.,Zwei Pferde ziehen einen von einer Frau gelenkten Wagen über einen schneebedeckten Untergrund.
234,A person climbing down a sheer rock cliff using a rope,Eine Person klettert eine steile Felswand herunter und verwendet dazu ein Seil.
235,The group of hikers is resting in front of a mountain.,Die Wandergruppe macht vor einem Berg Rast.
236,A woman standing in front of a chalk drawing,Eine Frau steht vor einem Kalkstein und malt.
237,"Three young adults are sitting around, with the girl pretending to kick one of the guys in the face while laughing, and the guy behind him looks like he's in midsentence.","Drei junge Erwachsenen sitzen herum, wobei eine junge Frau so tut, als ob sie einem der jungen Männer ins Gesicht tritt und dabei lacht, und der junge Mann hinter sieht aus, als ob er gerade mitten im Satz ist."
238,A group of kids in class with their hands in the air.,"Eine Gruppe von Kindern im Unterricht, die sich zu Wort melden."
239,A man wearing swimming trunks jumps off a concrete platform into a large body of water.,"Ein Mann, der eine Badehose trägt, springt von einer Betonplattform aus in eine großes Gewässer."
240,Woman meticulously working with a sewing machine.,"Eine Frau, die mit der Nähmaschine präzise arbeitet."
241,A lady in a white t-shirt is looking toward the person with their arm raised in the air.,"Eine Dame in einem weißen T-Shirt blickt zu der Person, die ihren Arm in die Luft streckt."
242,A girl working at a farm market selling peppers.,"Ein Mädchen, das auf einer Farm arbeitet und Paprika verkauft."
243,An elderly women is sitting in a chair with a cane in her hand.,"Eine ältere Frau, die in einem Stuhl sitzt, mit einem Stock in ihrer Hand."
244,A boy has blown four bubbles on the lawn.,Ein Junge auf dem Rasen hat vier Blasen geblasen.
245,A little boy playing in the water.,Ein kleiner Junge spielt im Wasser.
246,Dog running out of tunnel on obstacle course,Ein Hund rennt auf der Hindernisstrecke aus dem Tunnel heraus.
247,A yellow dog and a black and white dog are running in the dirt.,Ein gelber Hund und ein schwarz-weißer Hund rennen auf dem Erdboden.
248,Two men barbecuing at a beach.,"Zwei Männer, die am Strand grillen."
249,"A little girl in a flower print bathing suit, jumping into the ocean.",Ein kleines Mädchen in einem Badeanzug mit Blumenaufdruck springt ins Meer.
250,Little girl in blue swimsuit standing on a handrail near a beach.,"Ein kleines Mädchen mit einem blauen Badeanzug, das an einem Geländer in der Nähe eines Strands steht."
251,A young Asian boy sits on a railing behind a row of colorful hats,Ein asiatischer Junge sitzt auf einem Geländer hinter einer Reihe farbenfroher Hüte.
252,A white and black dog is jumping into a pool.,Ein weißer und ein schwarzer Hund springen in einen Pool.
253,The boys smiles underwater at the pool.,Der Junge lächeln unter Wasser im Schwimmbad.
254,Two people having a discussion sitting in a restaurant.,"Zwei Leute, die in einem Restaurant sitzen, diskutieren."
255,Several people are taking a break while on a snowmobiling ride.,Mehrere Leute auf einer Schneemobil-Tour machen eine Pause.
256,Two people working on removing snow from a roof.,"Zwei Personen arbeiten daran, den Schnee von einem Dach zu entfernen."
257,A young man wearing a black shirt takes a folding chair from a large stack.,Ein junger Mann in einem schwarzen Hemd nimmt einen Klappstuhl von einem großen Stapel.
258,A woman is walking at dusk down an urban street.,Eine Frau läuft in der Dämmerung eine städtische Straße entlang.
259,A little girl with brown hair is blowing the petals off of a flower.,Ein kleines Mädchen mit braunen Haaren bläst auf die Blütenblätter einer Blume.
260,Three people on ATV's outside.,Drei Leute vor einem Geländewagen.
261,A man on a four wheeler is flying through the air.,Ein Mann auf einem Allradfahrzeug fliegt durch die Luft.
262,A man on a four-wheeler jumps near a small building.,Ein Mann auf einem Allradfahrzeug springt in der Nähe eines kleinen Gebäudes.
263,A woman with dark hair wearing a bikini is sitting on a beach.,"Eine Frau mit dunklen Haaren, die einen Bikini trägt, sitzt an einem Strand."
264,"Two hands are flipping some food in a cast iron pan, with a spatula.",Zwei Hände geben mit einem Spachtel etwas Essbares in eine Eisenpfanne.
265,"Two women hugging in a grassy, fenced field with a cow's behind in the background.","Zwei Frauen, die sich auf einer eingezäunten Wiese umarmen, mit dem Hinterteil einer Kuh im Hintergrund."
266,A large ship approaching the dock with two men awaiting its arrival.,"Ein großes Schiff, das auf das Dock zu fährt, wo zwei Männer seine Ankunft erwarten."
267,A man in sandals and white cardigan sits on a green bench while talking on his cellphone.,Ein Mann in Sandalen und weißer Jacke sitzt auf einer grünen Bank uns spricht am Handy.
268,A man on stage singing into a microphone.,Ein Mann auf der Bühne singt in ein Mikrophon.
269,Three guys riding on an elephant with a house-like structures and trees in the background.,Drei Männer reiten auf einem Elefanten mit hausähnlichen Gebäuden und Bäumen im Hintergrund.
270,A mexican man sits under the hood of his truck.,Ein mexikanischer Mann sitzt unter der Motorhaube seines Lkws.
271,A boy in yellow glasses and red-haired girl pose for the camera.,Ein Junge mit einer gelben Brille und ein rothaariges Mädchen posieren für die Kamera.
272,A group of people gather and holding different types of flags.,Eine Menschengruppe sammelt sich und hält verschieden Fahnen.
273,A white baby boy crying over a tipped over toy.,Ein weißes männliches Baby weint wegen eines umgekippten Spielzeugs.
274,Small boy carries a soccer ball on a field.,Ein kleiner Junge auf einem Fußballplatz trägt einen Fußball.
275,A woman is watching as a guy is scooping ice cream from a freezer.,"Eine Frau sieht zu, wie ein Mann Eis aus einem Gefriergerät absticht."
276,A group of people are sitting on stools eating some food,Eine Gruppe sitzt auf Hockern und isst etwas.
277,"People are standing around an American flag that is spread out, facing the wrong direction.","Menschen stehen um eine ausgebreitete amerikanische Fahne herum, die in die falsche Richtung zeigt."
278,A young girl painting a picture.,Ein Mädchen malt ein Bild.
279,A cyclist is riding a bicycle on a curved road up a hill.,Ein Radfahrer fährt auf einer kurvigen Straße einen Hügel hinauf.
280,A little girl in a denim jacket running through a field.,Ein kleines Mädchen in einer Jeansjacke rennt durch ein Feld.
281,Man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand.,"Ein Mann in blauem Hemd und blauen Hosen, der auf den Daumen einer seiner Hände blickt und in der anderen Hand Gläser hält."
282,A couple kissing while going up the escalator.,Ein küssendes Paar im Aufzug.
283,"A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates, while an opposing player in red reaches for the ball.","Ein Fußballspieler in grünem Fußballdress mit einem Ball in seinen Händen wird von einem seiner Teamkollegen aufgehalten, während ein Spieler der gegnerischen Mannschaft in Rot nach dem Ball greift."
284,Men are constructing a wall in the desert.,Männer bauen eine Wand in der Wüste.
285,A young group of friends adorned with face paint and feathered headbands sit on a bench.,Ein Gruppe von Freunden mit Gesichtsfarbe und Federstirnbändern sitzt auf einer Bank.
286,The lady has a black sling bag.,Die Dame hat eine schwarze Umhängetasche.
287,A man in a black jacket is standing with a group of people behind him.,Ein Mann in einem schwarzen Jackett steht vor einer Gruppe von Menschen.
288,A black dog jumping to catch a rope toy,"Ein schwarzer Hund springt, um ein Seilspielzeug zu fangen."
289,A young girl is looking through an old fashioned video camera.,Ein junges Mädchen blickt durch eine altmodische Videokamera.
290,Girl in odd clothes reading a brochure while sitting on a wooden porch.,Ein Mädchen in komischer Kleidung sitzt auf einer hölzernen Veranda und liest eine Broschüre.
291,A man dressed in a funky outfit is playing guitar.,Ein Mann in einem flippigen Outfit spielt Gitarre.
292,A hockey goalie is trying to prevent a goal from the opposing team.,"Ein Hockey-Goalie versucht, ein Tor des gegnerischen Teams zu verhindern."
293,An adult and a child walk along the beach during the day.,Ein Erwachsener und ein Kind gehen tagsüber am Strand entlang.
294,A man in an apron sits on a curb.,Ein Mann in einer Schürze sitzt auf einer Bordsteinkante.
295,A brown and white dog jumping up to catch a Frisbee while an audience watches.,"Ein braun-weißer Hund springt hoch, um eine Frisbee-Scheibe zu fangen, während Zuschauer zusehen."
296,Two tennis players are talking on the tennis courts.,Zwei Tennisspieler sprechen in einer Tennisanlage.
297,Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps.,"Zwei Jongleure mit Fackeln geben eine Vorführung für eine dichte Menschenmenge, die auf Stufen sitzt."
298,Two children running with no shoes on.,"Zwei Kinder rennen, ohne Schuhe zu tragen."
299,A baby is sitting on and playing with smooth rocks.,Ein Baby sitzt auf glatten Steinen und spielt mit ihnen.
300,A boy in a Gap hat is making a silly face.,Ein Junge mit einer Gap-Hut macht ein dummes Gesicht.
301,"Five men, one wearing a white shirt standing on something, hanging up a picture of a child.","Fünf Männer, von denen einer ein weißes Hemd trägt, die auf etwas stehen und das Bild eines Kindes aufhängen."
302,A person in a hat is playing with a boy on a beach.,"Eine Person mit Hut, die mit einem Jungen am Strand spielt."
303,A girl in a green Speedo top and blue goggles holds her breath underwater.,Ein Mädchen in grünem Speedo-Oberteil und blauer Schutzbrille hält unter Wasser den Atem an.
304,Boys on a motor-scooter riding down a busy urban street.,Jungen auf einem Motorroller fahren eine vielbefahrene städtische Straße entlang.
305,Two ladies and a man playing a card game and drinking beer.,"Zwei Damen und ein Mann, die ein Kartenspiel spielen und Bier trinken."
306,People enjoy a gathering with Pabst Blue Ribbon and Diet Coke.,Leute genießen eine Zusammenkunft mit Pabst Blue Ribbon und Diet Coke.
307,"Man with red shoes, white shirt and gray pants climbing.","Ein Mann mit roten Schuhen, weißem Hemd und grauen Hosen, der klettert."
308,A rock climber climbs a large rock.,Ein Kletterer klettert einen großen Felsen hoch.
309,A little girl playing in water on a frog sculpture.,"Ein kleines Mädchen, das im Wasser auf einer Froschskulptur spielt."
310,A dog is running on the beach.,Ein Hund rennt am Strand.
311,People sitting in a restaurant eating and one is reading the paper.,"Menschen, die im Restaurant sitzen und essen, und einer liest die Zeitung."
312,A girl wearing a red short and a white shirt looking through a hole.,"Ein Mädchen, das rote Shorts und ein weißes Oberteil trägt und durch ein Loch blickt."
313,Black and white bird standing on hand of someone holding sunflower seeds,"Ein schwarz-weißer Vogel, der jemandem auf der Hand steht, der Sonnenblumenkerne hält."
314,A woman in a white shirt and pink skirt is about to hit a tennis ball.,"Eine Frau in einem weißen Oberteil und rosafarbenen Rock ist kurz davor, einen Tennisball zu schlagen."
315,A dog is standing in the sand.,Ein Hund steht im Sand.
316,This is a man standing on a rooftop with construction in the background.,"Dies ist ein Mann, der auf einem Dach steht, mit Bauarbeiten im Hintergrund."
317,A man looks through a large camera-like device in a field near a camper and some parked vehicles.,"Ein Mann blickt durch ein großes, kameraähnliches Gerät in ein Feld in der Nähe eines Wohnmobils und einiger geparkter Fahrzeuge."
318,A little boy stands in the surf.,Ein kleiner Junge steht in der Brandung.
319,A woman in Muslim attire is walking with a young boy down the street.,Eine Frau mit muslimischer Bekleidung läuft mit einem Jungen die Straße entlang.
320,The small dog is running across the lawn.,Der kleine Hund rennt über den Rasen.
321,A woman is jogging on a sidewalk next to an elevated grassy platform.,Eine Frau joggt auf einem Gehweg neben einer erhöhten grasbewachsenen Plattform.
